epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
33.333333,34.333333,0.181818,3.556711,3.9e-05,4.2e-05,0.002298,0.001941,0.844516,0.000128,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.181818,23.277725,4e-06,4e-06,0.000359,0.000221,0.614087,0.000103,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.181818,43.279222,0.0,0.0,5e-05,2.4e-05,0.482421,2.1e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.181818,63.279538,0.0,0.0,7e-06,3e-06,0.397247,3e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.272727,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.272727,3.464771,7.6e-05,8.3e-05,0.004483,0.003795,0.846561,0.00024,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.272727,23.143514,9e-06,9e-06,0.000707,0.000435,0.615199,0.000201,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.272727,43.146377,1e-06,1e-06,9.8e-05,4.7e-05,0.483107,4.1e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.272727,63.146983,0.0,0.0,1.3e-05,5e-06,0.397712,6e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.363636,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.363636,3.405358,0.000125,0.000138,0.007371,0.006249,0.847816,0.000385,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.363636,23.061299,1.4e-05,1.4e-05,0.001168,0.000719,0.615874,0.000332,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.363636,43.065826,2e-06,2e-06,0.000161,7.8e-05,0.483523,6.7e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.363636,63.066789,0.0,0.0,2.1e-05,8e-06,0.397994,1.1e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.454545,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.454545,3.367326,0.000182,0.000203,0.01074,0.009114,0.848585,0.000552,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.454545,23.010529,2.1e-05,2.1e-05,0.001706,0.001051,0.616284,0.000484,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.454545,43.016774,2e-06,2e-06,0.000236,0.000114,0.483775,9.8e-05,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.454545,63.018107,0.0,0.0,3.1e-05,1.2e-05,0.398165,1.6e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.545455,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.545455,3.342299,0.000244,0.000272,0.01437,0.012202,0.849072,0.000732,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.545455,22.977932,2.8e-05,2.8e-05,0.002287,0.00141,0.616542,0.000648,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.545455,42.985739,3e-06,3e-06,0.000316,0.000153,0.483935,0.000131,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.545455,62.987407,0.0,0.0,4.2e-05,1.7e-05,0.398273,2.1e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.636364,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.636364,3.325379,0.000307,0.000343,0.018072,0.01535,0.849392,0.000915,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.636364,22.956246,3.6e-05,3.5e-05,0.002879,0.001776,0.616712,0.000816,0.105,500,300,50,0.1,0.105,10,1
